,國立臺灣大學學生會預算書,,,,,,,,,,,,,,,,,,,,,,,,,,
,<104學年度第1會期預算案>,,,,,,,,,,,,,,,,,,,,,,,,,,
,壹、綜計表,,,,,,,,,,,,,,,,,,,,,,,,,,
,部門名稱,單位名稱,,預算收入總計,預算支出總計,實際收入總計,實際支出總計,結餘,,,,,,,,,,,,,,,,,,,
,行政部門,會長,,919250,1343503,737000,704442,32558,,,,,,,,,,,,,,,,,,,
,,秘書部,,0,122748,0,68608.600000000006,-68608.600000000006,,,,,,,,,,,,,,,,,,,
,,新聞部,,0,153115.78947368421,0,106405,-106405,,,,,,,,,,,,,,,,,,,
,,活動部,,232000,408091,220580,266371,-45791,,,,,,,,,,,,,,,,,,,
,,學術部,,0,173837,0,80770,-80770,,,,,,,,,,,,,,,,,,,
,,福利部,,0,5700,0,4850,-4850,,,,,,,,,,,,,,,,,,,
,,文化部,,169800,486389,169800,348297,-178497,,,,,,,,,,,,,,,,,,,
,,公關部,,400000,361200,202056,136598,65458,,,,,,,,,,,,,,,,,,,
,,財務部,,1872,4700,1872,2800,-928,,,,,,,,,,,,,,,,,,,
,,法制部,,50000,4225,0,4000,-4000,,,,,,,,,,,,,,,,,,,
,,選舉罷免執行委員會,,50000,263705,0,231749,-231749,,,,,,,,,,,,,,,,,,,
,,（前期餘額）,,1124804,,1124804,,1124804,,,,,,,,,,,,,,,,,,,
,,（經常收入）,,1834905,,1834905,,1834905,,,,,,,,,,,,,,,,,,,
,,（補助統籌收入）,,24000,,24000,,24000,,,,,,,,,,,,,,,,,,,
,小計,,,4806631,3343513.7894736845,4315017,1954890.6,2360126.4,,,,,,,,,,,,,,,,,,,
,立法部門,學生代表大會,,329864,335560,327536,135008,192528,,,,,,,,,,,,,,,,,,,
,司法部門,學生法院,,0,18228,0,5520,-5520,,,,,,,,,,,,,,,,,,,
,學生會三部門總預算,,,5136495,3697301.7894736845,4642553,2095418.6,2547134.4,,,,,,,,,,,,,,,,,,,
,前期餘額,,,,,,,1124804,,,,,,,,,,,,,,,,,,,
,本期淨收益,,,,,,,1235322.3999999999,,,,,,,,,,,,,,,,,,,
,貳、主要表,,,,,,,,,,,,,,,,,,,,,,,,,,
,一、期間收入,,,,,,,,,,,,,,,,,,,,,,,,,,
,立法部門收入,,,,,,,,,,,,,,,,,,,,,,,,,,
,期入科目,收入來源,預算金額(元),百分比(%),決算金額,執行率(%),備註說明,,,,,,,,,,,,,,,,,,,,
,前期餘額,前期餘額,59096,0.17915262047389227,59096,1,"103-2展延款項金額145,000，扣除至20150928所實際支出金額85904之帳戶餘額。",,,,,,,,,,,,,,,,,,,,
,小計,,59096,0.17915262047389227,59096,1,,,,,,,,,,,,,,,,,,,,,
,經常收入,104-1學校通常補助,20000,6.0631047947032717E-2,17672,0.88360000000000005,"104-1會期定期大會校方補助款，共舉辦八次，每次約2,500元。",,,,,,,,,,,,,,,,,,,,
,,會費撥入,190560,0.57769262483932771,190560,1,行政部門會費撥入款項。,,,,,,,,,,,,,,,,,,,,
,小計,,210560,0.63832367278636049,208232,0.98894376899696046,,,,,,,,,,,,,,,,,,,,,
,增加收入,利息,208,5.9999999999999995E-4,208,1,,,,,,,,,,,,,,,,,,,,,
,,學代會網站退款,60000,0.18340000000000001,60000,1,,,,,,,,,,,,,,,,,,,,,
,小計,,60208,0.1825237067397473,60208,1,,,,,,,,,,,,,,,,,,,,,
,104-1收入總計,,329864,1,327536,0.99294254601896537,,,,,,,,,,,,,,,,,,,,,
,立法部門收入總計,,329864,1,327536,0.99294254601896537,,,,,,,,,,,,,,,,,,,,,
,司法部門收入,,,,,,,,,,,,,,,,,,,,,,,,,,
,期入科目,收入來源,預算金額(元),百分比(%),決算金額,執行率(%),備註說明,,,,,,,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,司法部門收入總計,,0,,,,,,,,,,,,,,,,,,,,,,,,
,行政部門收入,,,,,,,,,,,,,,,,,,,,,,,,,,
,103-2預算展延收入,,,,,,,,,,,,,,,,,,,,,,,,,,
,期入科目,收入來源,預算金額(元),百分比(%),決算金額,執行率(%),備註說明,,,,,,,,,,,,,,,,,,,,
,贊助收入,校友捐款,400000,8.4734434866864203E-2,400000,1,,,,,,,,,,,,,,,,,,,,,
,補助收入,學務處補助,100000,2.1183608716716051E-2,0,0,,,,,,,,,,,,,,,,,,,,,
,報名費收入,論壇報名費,60000,1.271016523002963E-2,0,0,,,,,,,,,,,,,,,,,,,,,
,103-2預算展延收入總計,,560000,0.11862820881360987,400000,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,
,104-1預算,,,,,,,,,,,,,,,,,,,,,,,,,,
,期入科目,收入來源,預算金額(元),百分比(%),決算金額,執行率(%),備註說明,,,,,,,,,,,,,,,,,,,,
,前期餘額,,1124804,0.23827407818997079,1124804,1,,,,,,,,,,,,,,,,,,,,,
,經常收入,學生會費,1834905,0.3886990955234586,1834905,1,,,,,,,,,,,,,,,,,,,,,
,校友捐款,會長,250000,5.2959021791790122E-2,250000,1,,,,,,,,,,,,,,,,,,,,,
,統籌補助款,會長,15000,3.1775413075074074E-3,24000,1.6,,,,,,,,,,,,,,,,,,,,,
,小計,,3224709,0.68310973681272691,3233709,1.0027909495089324,,,,,,,,,,,,,,,,,,,,,
,期入科目,摘要,預算金額(元),百分比(%),決算金額,執行率(%),備註說明,,,,,,,,,,,,,,,,,,,,
,販售收入,公關部,400000,8.4734434866864203E-2,202056,0.50514000000000003,"校慶紀念品：單價400*數量1,000",,,,,,,,,,,,,,,,,,,,
,攤位報名,文化部,0,0,12000,0,開放攤商進駐，每攤收取1000，共12家,,,,,,,,,,,,,,,,,,,,
,門票收入,文化部,29700,6.2915317888646667E-3,29700,1,電影節兩場神祕場門票收入，每張100，共售出297張,,,,,,,,,,,,,,,,,,,,
,,文化部,48100,1.0189315792740419E-2,48100,1,學生活動中心補助,,,,,,,,,,,,,,,,,,,,
,學校補助收入,文化部,80000,1.6946886973372838E-2,80000,1,課外活動組補助,,,,,,,,,,,,,,,,,,,,
,服務收入,燈光音響服務小組,50000,1.0591804358358025E-2,77650,1.5529999999999999,校內活動之器材租借（決算時列整學期各場租借金額細項）,,,,,,,,,,,,,,,,,,,,
,門票收入,活動部,40000,8.4734434866864192E-3,19160,0.47899999999999998,聖誕野餐活動,,,,,,,,,,,,,,,,,,,,
,禮物材料費,活動部,9000,1.9065247845044444E-3,390,4.3333333333333335E-2,聖誕野餐活動,,,,,,,,,,,,,,,,,,,,
,報名費,台大大富翁,133000,2.8174199593232346E-2,123380,0.92766917293233087,,,,,,,,,,,,,,,,,,,,,
,利息收入,財務部,1872,3.9655715517692444E-4,1872,1,,,,,,,,,,,,,,,,,,,,,
,學校補助收入,選舉罷免執行委員會,50000,1.0591804358358025E-2,50000,1,,,,,,,,,,,,,,,,,,,,,
,小計,,841672,0.17829650315815831,592436,0.7038798962065983,,,,,,,,,,,,,,,,,,,,,
,104-1收入總計,,4066381,0.86140623997088528,4226145,1.0392889893986816,,,,,,,,,,,,,,,,,,,,,
,104-1校慶追加預算,,,,,,,,,,,,,,,,,,,,,,,,,,
,校慶活動：彩繪椰林、臺大之夜,露營帳棚收入,48000,1.0168132184023704E-2,46800,0.97499999999999998,每人150元，預計共 320人次。,,,,,,,,,,,,,,,,,,,,
,,早餐收入,15000,3.1775413075074074E-3,13550,0.90333333333333332,每人50元，預計300人次。,,,,,,,,,,,,,,,,,,,,
,,明信片收入,5000,1.0591804358358024E-3,0,0,每張10元，預計500張。,,,,,,,,,,,,,,,,,,,,
,,飲食收入,26250,5.560697288137963E-3,2650,0.10095238095238095,視天氣準備：爆米花每頂帳篷100元無限取用，預計60份；飲料每杯20元，預計300份；燒仙草每份40元，預計100份；雞蛋糕每份30元，預計200份；紅豆湯圓每碗55元，預計50份；棉花糖每份30元，預計50份。,,,,,,,,,,,,,,,,,,,,
,小計,,94250,1.9965551215504876E-2,63000,0.66843501326259946,,,,,,,,,,,,,,,,,,,,,
,104-1校慶追加預算收入總計,,94250,1.9965551215504876E-2,63000,0.66843501326259946,,,,,,,,,,,,,,,,,,,,,
,行政部門收入總計,,4720631,0.93468679802672805,4689145,0.99333012895945483,,,,,,,,,,,,,,,,,,,,,
,收入總計,,5050495,1,5016681,0.99330481467658116,,,,,,,,,,,,,,,,,,,,,
,二、期間支出,,,,,,,,,,,,,,,,,,,,,,,,,,
,立法部門支出,,,,,,,,,,,,,,,,,,,,,,,,,,
,103-2預算展延,,,,,,,,,,,,,,,,,,,,,,,,,,
,期出科目,摘要,預算金額(元),百分比(%),決算金額,執行率(%),備註說明,,,,,,,,,,,,,,,,,,,,
,應付款項,學生代表大會,145000,0.43211348194063653,,0,會議記錄製作費、法規彙編、幹部訓練、大會誤餐費、委員會茶水費,,,,,,,,,,,,,,,,,,,,
,103-2預算展延支出總計,,145000,,,0,,,,,,,,,,,,,,,,,,,,,
,104-1預算,,,,,,,,,,,,,,,,,,,,,,,,,,
,期出科目,摘要,預算金額(元),百分比(%),決算金額,執行率(%),備註說明,,,,,,,,,,,,,,,,,,,,
,業務費用,聯絡費,6000,1.7880557873405652E-2,6000,1,議長3000元，秘書處3000元，秘書處運用此款項通知各委員會及常會。,,,,,,,,,,,,,,,,,,,,
,,法規彙編校對費,1250,3.7251162236261771E-3,0,0,估計約250頁，一頁5元。,,,,,,,,,,,,,,,,,,,,
,,文書影印費,1500,4.4701394683514129E-3,283,0.18866666666666668,秘書處各項文件及公文，大會各項資料影印影印。,,,,,,,,,,,,,,,,,,,,
,,辦公室設備及維護費,1500,4.4701394683514129E-3,701,0.46733333333333332,行政工作所需之各項文具或設備，如紙筆、文具夾、印台、隨身碟、電池等等。,,,,,,,,,,,,,,,,,,,,
,,定期大會場地費,4900,1.4602455596614614E-2,4040,0.82448979591836735,借用活大以外教室場地費與場地設備費，以新生大樓教室借用費預估之。大教室620元、中教室380元，暫定共借用11次，前者估3次後者估8次。,,,,,,,,,,,,,,,,,,,,
,,會議記錄製作費,46200,0.13768029562522352,16380,0.35454545454545455,逐字稿製作每小時1200元，每次會議時間長約3.5小時，暫定11次會議（定期大會8次、加上104-1會期預備會議、預留特別大會2次，共11次會議）。,,,,,,,,,,,,,,,,,,,,
,,大會誤餐費,69520,0.20717606389319346,12880,0.1852704257767549,80元/人，計報到代表75人、秘書處跟會4人，共79人，暫訂11次會議。,,,,,,,,,,,,,,,,,,,,
,,委員會茶水費,24000,7.1522231493622607E-2,4320,0.18,40元/人，10個委員會，個別委員會成員數平均約10人、秘書處跟會2人，共12人，估計每委員會平均開5次會。,,,,,,,,,,,,,,,,,,,,
,,法規彙編影印費,15300,4.5595422577184408E-2,1720,0.11241830065359477,104-1會期法規彙編；每本印製費170元，印送學代會、行政部門及法院，並分送學校各級處室，另加留存建檔用，共計90本。,,,,,,,,,,,,,,,,,,,,
